"City","city_ascii","id","State","county_fips","County","Lat","Long","population","population_proper","density","source","incorporated","timezone","Zipcode","nid"
"Hainesville","Hainesville","TX","Texas","48499","Wood","32.7176","-95.3644","","","17.0","point","False","America/Chicago","75773","1840036705"
"Windemere","Windemere","TX","Texas","48453","Travis","30.4591","-97.6492","","","1793.2","point","False","America/Chicago","78660","1840019589"
"Arp","Arp","TX","Texas","48423","Smith","32.2279","-95.0534","1004","1004","148","polygon","True","America/Chicago","75750","1840019455"
"Art","Art","TX","Texas","48319","Mason","30.7385","-99.1114","","","0.7","point","False","America/Chicago","76820","1840032422"
"Chilton","Chilton","TX","Texas","48145","Falls","31.2848","-97.0607","","","278.6","polygon","False","America/Chicago","76632","1840025968"
"Fort Hancock","Fort Hancock","TX","Texas","48229","Hudspeth","31.2837","-105.8446","","","516.1","polygon","False","America/Denver","79839","1840018150"
"Fresno","Fresno","TX","Texas","48157","Fort Bend","29.5357","-95.4694","","","384.2","polygon","False","America/Chicago","77545","1840018266"
"Las Quintas Fronterizas Colonia","Las Quintas Fronterizas Colonia","TX","Texas","48323","Maverick","28.6890","-100.4676","","","1762.4","polygon","False","America/Chicago","78852","1840037135"
"Zapata Ranch","Zapata Ranch","TX","Texas","48489","Willacy","26.3570","-97.8243","","","60.3","polygon","False","America/Chicago","78569","1840037089"
"Floydada","Floydada","TX","Texas","48153","Floyd","33.9835","-101.3367","2726.0","2753","522","polygon","True","America/Chicago","79235","1840020535"
"Decatur","Decatur","TX","Texas","48497","Wise","33.2277","-97.5898","6574.0","6721","307","polygon","True","America/Chicago","76234","1840019385"
"Talty","Talty","TX","Texas","48257","Kaufman","32.6945","-96.4007","2450","2450","278","polygon","True","America/Chicago","75126 75160","1840023219"
"Wellborn","Wellborn","TX","Texas","48041","Brazos","30.5352","-96.3016","","","85.6","point","False","America/Chicago","77845","1840036610"
"San Marcos","San Marcos","TX","Texas","48209","Hays","29.8734","-97.9382","74212.0","63071","721","polygon","True","America/Chicago","78666 78667","1840022188"
"Warren","Warren","TX","Texas","48457","Tyler","30.6127","-94.4104","","","70.4","polygon","False","America/Chicago","77664","1840025989"
"Castle Hills","Castle Hills","TX","Texas","48029","Bexar","29.5229","-98.5197","4460","4460","697","polygon","True","America/Chicago","78213","1840019652"
"Caldwell","Caldwell","TX","Texas","48051","Burleson","30.5307","-96.7007","4233.0","4330","428","polygon","True","America/Chicago","77836","1840019578"
"Colony","Colony","TX","Texas","48149","Fayette","29.7691","-97.1789","","","0.9","point","False","America/Chicago","78941","1840032644"
"Garrett","Garrett","TX","Texas","48139","Ellis","32.3681","-96.6543","847","847","181","polygon","True","America/Chicago","75119","1840022085"
"Pierce","Pierce","TX","Texas","48481","Wharton","29.2391","-96.2000","","","14.0","point","False","America/Chicago","77467","1840036546"
"Inez","Inez","TX","Texas","48469","Victoria","28.8718","-96.7959","","","60.5","polygon","False","America/Chicago","77968","1840018279"
"Pine Island","Pine Island","TX","Texas","48473","Waller","30.0554","-96.0253","1094","1094","45","polygon","True","America/Chicago","77445 77484","1840023150"
"Concepcion","Concepcion","TX","Texas","48131","Duval","27.3951","-98.3558","","","57.1","polygon","False","America/Chicago","78349","1840018296"
"Echo","Echo","TX","Texas","48083","Coleman","31.9282","-99.3178","","","0.7","point","False","America/Chicago","76828","1840033547"
"Colmesneil","Colmesneil","TX","Texas","48457","Tyler","30.9097","-94.4220","591","591","114","polygon","True","America/Chicago","75938","1840019564"
"Mankins","Mankins","TX","Texas","48009","Archer","33.7826","-98.7970","","","5.3","point","False","America/Chicago","76366","1840036500"
"Saltillo","Saltillo","TX","Texas","48223","Hopkins","33.1846","-95.3263","","","38.4","point","False","America/Chicago","75478","1840036329"
"Redwood","Redwood","TX","Texas","48187","Guadalupe","29.8100","-97.9103","","","585.3","polygon","False","America/Chicago","78666","1840019638"
"Quarry","Quarry","TX","Texas","48477","Washington","30.3077","-96.5105","","","55.1","point","False","America/Chicago","78130","1840023612"
"New Waverly","New Waverly","TX","Texas","48471","Walker","30.5374","-95.4822","1094","1094","191","polygon","True","America/Chicago","77358","1840020866"
"Blessing","Blessing","TX","Texas","48321","Matagorda","28.8727","-96.2172","","","559.9","polygon","False","America/Chicago","77419","1840018276"
"Ben Arnold","Ben Arnold","TX","Texas","48331","Milam","30.9638","-96.9880","","","79.2","point","False","America/Chicago","76519","1840022497"
"Perryton","Perryton","TX","Texas","48357","Ochiltree","36.3931","-100.7974","8681.0","8683","709","polygon","True","America/Chicago","79070","1840020379"
"Gray","Gray","TX","Texas","48315","Marion","32.7876","-94.0735","","","6.4","point","False","America/Chicago","75657","1840036704"
"Arcadia","Arcadia","TX","Texas","48167","Galveston","29.3833","-95.1202","","","373.6","point","False","America/Chicago","77517","1840036162"
"Sarita","Sarita","TX","Texas","48261","Kenedy","27.2235","-97.7951","","","25.5","polygon","False","America/Chicago","78385","1840026059"
"Morgan Mill","Morgan Mill","TX","Texas","48143","Erath","32.3882","-98.1673","","","40.3","point","False","America/Chicago","76433","1840036292"
"Groom","Groom","TX","Texas","48065","Carson","35.2050","-101.1071","565","565","293","polygon","True","America/Chicago","79039","1840021756"
"San Perlita","San Perlita","TX","Texas","48489","Willacy","26.5010","-97.6398","557","557","414","polygon","True","America/Chicago","78580 78590","1840022259"
"Stilson","Stilson","TX","Texas","48291","Liberty","30.0188","-94.9188","","","14.7","point","False","America/Chicago","77535","1840036766"
"New Territory","New Territory","TX","Texas","48157","Fort Bend","29.5911","-95.6881","","","2478.2","polygon","False","America/Chicago","77479","1840019644"
"West Point","West Point","TX","Texas","48149","Fayette","29.9438","-97.0369","","","81.7","point","False","America/Chicago","78963","1840023157"
"Juno","Juno","TX","Texas","48465","Val Verde","30.1519","-101.1154","","","0.0","point","False","America/Chicago","76943","1840032679"
"Salesville","Salesville","TX","Texas","48363","Palo Pinto","32.9123","-98.0881","","","82.4","point","False","America/Chicago","76067","1840036328"
"Oglesby","Oglesby","TX","Texas","48099","Coryell","31.4187","-97.5114","452","452","341","polygon","True","America/Chicago","76561","1840020826"
"Seymour","Seymour","TX","Texas","48023","Baylor","33.5955","-99.2580","2620","2620","345","polygon","True","America/Chicago","76380","1840021980"
"Wixon Valley","Wixon Valley","TX","Texas","48041","Brazos","30.7639","-96.3193","259","259","55","polygon","True","America/Chicago","77808","1840022162"
"Gustine","Gustine","TX","Texas","48093","Comanche","31.8457","-98.4025","457","457","192","polygon","True","America/Chicago","76455","1840022122"
"Valentine","Valentine","TX","Texas","48243","Jeff Davis","30.5886","-104.4953","127","127","100","polygon","True","America/Chicago","79854","1840023133"
"Archer City","Archer City","TX","Texas","48009","Archer","33.5937","-98.6257","1754","1754","308","polygon","True","America/Chicago","76351","1840019334"
"Clear Lake City","Clear Lake City","TX","Texas","48201","Harris","29.5552","-95.1152","","","599.7","point","False","America/Chicago","77058","1840036649"
"Haltom City","Haltom City","TX","Texas","48439","Tarrant","32.8176","-97.2707","44417","44417","1388","polygon","True","America/Chicago","76137 76148 76117","1840020698"
"Cameron","Cameron","TX","Texas","48331","Milam","30.8607","-96.9763","5361.0","5523","407","polygon","True","America/Chicago","76520","1840019562"
"Keltys","Keltys","TX","Texas","48005","Angelina","31.3616","-94.7510","","","355.8","point","False","America/Chicago","75904","1840036990"
"Gomez","Gomez","TX","Texas","48445","Terry","33.1818","-102.3780","","","3.6","point","False","America/Chicago","79316","1840036864"
"Best","Best","TX","Texas","48383","Reagan","31.2246","-101.6212","","","0.0","point","False","America/Chicago","76932","1840032778"
"South Point","South Point","TX","Texas","48061","Cameron","25.8730","-97.3830","","","522.4","polygon","False","America/Chicago","78521","1840037080"
"Cut","Cut","TX","Texas","48225","Houston","31.2218","-95.4819","","","4.2","point","False","America/Chicago","75835","1840036414"
"Houmont Park","Houmont Park","TX","Texas","48201","Harris","29.8424","-95.2063","","","905.9","point","False","America/Chicago","77044","1840036629"
"Hochheim","Hochheim","TX","Texas","48123","DeWitt","29.3125","-97.2917","","","13.7","point","False","America/Chicago","77995","1840036656"
"Scotland","Scotland","TX","Texas","48009","Archer","33.6499","-98.4677","491","491","24","polygon","True","America/Chicago","76379","1840021977"
"Fairfield","Fairfield","TX","Texas","48161","Freestone","31.7184","-96.1697","3242.0","2917","206","polygon","True","America/Chicago","75840","1840020803"
"Pattison","Pattison","TX","Texas","48473","Waller","29.8190","-95.9761","586","586","68","polygon","True","America/Chicago","77423 77466","1840020914"
"Metcalf Gap","Metcalf Gap","TX","Texas","48363","Palo Pinto","32.7098","-98.4414","","","0.5","point","False","America/Chicago","76475","1840031982"
"Truscott","Truscott","TX","Texas","48275","Knox","33.7543","-99.8112","","","20.1","point","False","America/Chicago","79227","1840036596"
"Brushy Creek","Brushy Creek","TX","Texas","48001","Anderson","31.9577","-95.6150","","","16.0","point","False","America/Chicago","75763","1840036808"
"San Saba","San Saba","TX","Texas","48411","San Saba","31.1965","-98.7244","3080.0","3075","519","polygon","True","America/Chicago","76877","1840023129"
"Swearingen","Swearingen","TX","Texas","48101","Cottle","34.1487","-100.1479","","","0.0","point","False","America/Chicago","79248","1840033527"
"Oakhurst","Oakhurst","TX","Texas","48407","San Jacinto","30.7434","-95.3072","","","66.1","polygon","False","America/Chicago","77359","1840025996"
"Ames","Ames","TX","Texas","48291","Liberty","30.0451","-94.7373","1115","1115","130","polygon","True","America/Chicago","77575","1840019597"
"Point Venture","Point Venture","TX","Texas","48453","Travis","30.3817","-98.0010","958","958","423","polygon","True","America/Chicago","78645","1840023144"
"Boerne","Boerne","TX","Texas","48259","Kendall","29.7845","-98.7291","16050.0","16056","553","polygon","True","America/Chicago","78006","1840019623"
"La Feria","La Feria","TX","Texas","48061","Cameron","26.1544","-97.8255","7364","7364","659","polygon","True","America/Chicago","78559","1840021041"
"Huxley","Huxley","TX","Texas","48419","Shelby","31.7643","-93.8848","381","381","72","polygon","True","America/Chicago","75973","1840019529"
"Queen City","Queen City","TX","Texas","48067","Cass","33.1507","-94.1524","1453","1453","158","polygon","True","America/Chicago","75572","1840020680"
"Copeville","Copeville","TX","Texas","48085","Collin","33.0796","-96.4155","","","211.8","point","False","America/Chicago","75173","1840036208"
"Jean","Jean","TX","Texas","48503","Young","33.2962","-98.6164","","","62.2","point","False","America/Chicago","76374","1840036468"
"Las Palmas","Las Palmas","TX","Texas","48505","Zapata","26.9516","-99.2760","","","49.9","polygon","False","America/Chicago","78076","1840025171"
"Golden","Golden","TX","Texas","48499","Wood","32.7296","-95.5630","","","121.2","point","False","America/Chicago","75773","1840036237"
"Eastgate","Eastgate","TX","Texas","48291","Liberty","30.0555","-95.0119","","","7.2","point","False","America/Chicago","77535","1840036225"
"Santa Elena","Santa Elena","TX","Texas","48427","Starr","26.7601","-98.4864","","","1.2","point","False","America/Chicago","78591","1840036760"
"Pleasanton","Pleasanton","TX","Texas","48013","Atascosa","28.9643","-98.4957","14638.0","10490","454","polygon","True","America/Chicago","78064","1840020988"
"Frankston","Frankston","TX","Texas","48001","Anderson","32.0561","-95.5043","1189","1189","185","polygon","True","America/Chicago","75763","1840022131"
"Melrose","Melrose","TX","Texas","48347","Nacogdoches","31.5616","-94.4766","","","23.0","point","False","America/Chicago","75961","1840036905"
"Pinto","Pinto","TX","Texas","48271","Kinney","29.2813","-100.5884","","","0.4","point","False","America/Chicago","78832","1840033513"
"Weatherford","Weatherford","TX","Texas","48367","Parker","32.7538","-97.7712","42278.0","30654","442","polygon","True","America/Chicago","76086 76087","1840022041"
"Lolita","Lolita","TX","Texas","48239","Jackson","28.8326","-96.5387","","","425.4","polygon","False","America/Chicago","77971","1840019677"
"Lariat","Lariat","TX","Texas","48369","Parmer","34.3304","-102.9080","","","17.8","point","False","America/Chicago","79325","1840036888"
"Oakwood","Oakwood","TX","Texas","48289","Leon","31.5848","-95.8499","517","517","176","polygon","True","America/Chicago","75855","1840023124"
"Hudson","Hudson","TX","Texas","48005","Angelina","31.3285","-94.8014","4889","4889","372","polygon","True","America/Chicago","75904","1840020838"
"Pineland","Pineland","TX","Texas","48403","Sabine","31.2467","-93.9744","811","811","153","polygon","True","America/Chicago","75968","1840020832"
"Martins Mill","Martins Mill","TX","Texas","48467","Van Zandt","32.4163","-95.7902","","","19.3","point","False","America/Chicago","75754","1840036278"
"Melissa","Melissa","TX","Texas","48085","Collin","33.2899","-96.5558","9212","9212","324","polygon","True","America/Chicago","75409 75454","1840020658"
"DISH","DISH","TX","Texas","48121","Denton","33.1330","-97.3014","438","438","104","polygon","True","America/Chicago","76247","1840022007"
"El Camino Angosto","El Camino Angosto","TX","Texas","48061","Cameron","26.1115","-97.6438","","","259.2","polygon","False","America/Chicago","78586","1840037045"
"Hillsboro","Hillsboro","TX","Texas","48217","Hill","32.0091","-97.1151","8296.0","8425","299","polygon","True","America/Chicago","76645","1840020783"
"Coburn","Coburn","TX","Texas","48295","Lipscomb","36.0664","-100.1535","","","0.0","point","False","America/Chicago","79014","1840032819"
"Circleville","Circleville","TX","Texas","48491","Williamson","30.6374","-97.4356","","","7.7","point","False","America/Chicago","76574","1840036822"
"Tradewinds","Tradewinds","TX","Texas","48409","San Patricio","27.9950","-97.2602","","","115.5","polygon","False","America/Chicago","78390","1840037082"
"Lovelady","Lovelady","TX","Texas","48225","Houston","31.1279","-95.4456","632","632","184","polygon","True","America/Chicago","75851","1840020834"
"Simms","Simms","TX","Texas","48037","Bowie","33.3504","-94.5074","","","8.1","point","False","America/Chicago","75574","1840036978"
"Orason Acres Colonia","Orason Acres Colonia","TX","Texas","48061","Cameron","26.0742","-97.4458","","","246.4","polygon","False","America/Chicago","78566","1840037101"
"Longworth","Longworth","TX","Texas","48151","Fisher","32.6504","-100.3457","","","14.9","point","False","America/Chicago","79556","1840036632"
"Mount Vernon","Mount Vernon","TX","Texas","48159","Franklin","33.1760","-95.2253","2661.0","2741","246","polygon","True","America/Chicago","75457","1840023005"
"Kaffir","Kaffir","TX","Texas","48437","Swisher","34.6334","-101.8207","","","0.3","point","False","America/Chicago","79042","1840033183"
"Waxahachie","Waxahachie","TX","Texas","48139","Ellis","32.4036","-96.8428","35340","35340","286","polygon","True","America/Chicago","75167 75165","1840022083"
"Port Mansfield","Port Mansfield","TX","Texas","48489","Willacy","26.5623","-97.4365","","","131.7","polygon","False","America/Chicago","78598","1840019735"
"Hunt","Hunt","TX","Texas","48265","Kerr","30.0708","-99.3378","","","60.7","point","False","America/Chicago","78024","1840036248"
"Cedar Creek","Cedar Creek","TX","Texas","48021","Bastrop","30.0872","-97.5008","","","21.2","point","False","America/Chicago","78612","1840036197"
"Plantersville","Plantersville","TX","Texas","48185","Grimes","30.3330","-95.8619","","","30.9","point","True","America/Chicago","77363","1840032017"
"Mount Houston","Mount Houston","TX","Texas","48201","Harris","29.8911","-95.3058","","","1520.6","point","False","America/Chicago","77016","1840036517"
"Falcon Village","Falcon Village","TX","Texas","48427","Starr","26.5650","-99.1346","","","37.5","polygon","False","America/Chicago","78545","1840018314"
"Earth","Earth","TX","Texas","48279","Lamb","34.2338","-102.4091","996","996","320","polygon","True","America/Chicago","79031","1840019275"
"Pawnee","Pawnee","TX","Texas","48025","Bee","28.6483","-98.0083","","","58.1","polygon","False","America/Chicago","78119 78145","1840019693"
"Escobas","Escobas","TX","Texas","48505","Zapata","27.0625","-99.0236","","","0.0","point","False","America/Chicago","78076","1840032654"
"Danevang","Danevang","TX","Texas","48481","Wharton","29.0575","-96.2075","","","18.4","point","False","America/Chicago","77437","1840036416"
"Mission","Mission","TX","Texas","48215","Hidalgo","26.2040","-98.3251","84424","84424","917","polygon","True","America/Chicago","78574 78572","1840021026"
"Dumas","Dumas","TX","Texas","48341","Moore","35.8613","-101.9642","14931.0","14785","1033","polygon","True","America/Chicago","79029","1840019086"
"Vancourt","Vancourt","TX","Texas","48451","Tom Green","31.3429","-100.1770","","","7.0","point","False","America/Chicago","76955","1840036953"
"Texarkana","Texarkana","TX","Texas","48037","Bowie","33.4487","-94.0815","80145.0","37333","495","polygon","True","America/Chicago","75501 75503 75599","1840021987"
"Apple Springs","Apple Springs","TX","Texas","48455","Trinity","31.2235","-94.9663","","","25.3","point","False","America/Chicago","75926","1840023256"
"Bammel","Bammel","TX","Texas","48201","Harris","30.0069","-95.4636","","","1638.0","point","False","America/Chicago","77090","1840036165"
"Keller","Keller","TX","Texas","48439","Tarrant","32.9337","-97.2255","47266","47266","988","polygon","True","America/Chicago","76248 76262","1840019428"
"Loma Linda East Colonia","Loma Linda East Colonia","TX","Texas","48427","Starr","26.3281","-98.6894","","","77.8","polygon","False","America/Chicago","78582","1840037122"
"Oak Valley","Oak Valley","TX","Texas","48349","Navarro","32.0331","-96.5116","382","382","76","polygon","True","America/Chicago","75110","1840023099"
"Orient","Orient","TX","Texas","48451","Tom Green","31.6568","-100.3318","","","15.8","point","False","America/Chicago","76905","1840036302"
"Loraine","Loraine","TX","Texas","48335","Mitchell","32.4086","-100.7127","582","582","216","polygon","True","America/Chicago","79532","1840022088"
"Kadane Corner","Kadane Corner","TX","Texas","48485","Wichita","33.8579","-98.8387","","","9.8","point","False","America/Chicago","76360","1840036473"
"Terlingua","Terlingua","TX","Texas","48043","Brewster","29.2991","-103.5795","","","15.1","polygon","False","America/Chicago","79852","1840025121"
"Castor","Castor","TX","Texas","48333","Mills","31.3691","-98.5103","","","1.5","point","False","America/Chicago","76844","1840036816"
"Shelby","Shelby","TX","Texas","48015","Austin","30.0216","-96.5983","","","42.7","point","False","America/Chicago","78940","1840036335"
"Dundee","Dundee","TX","Texas","48009","Archer","33.7404","-98.9023","","","4.6","point","False","America/Chicago","76366","1840036427"
"Munday","Munday","TX","Texas","48275","Knox","33.4471","-99.6239","1289","1289","348","polygon","True","America/Chicago","76371","1840020600"
"Ironton","Ironton","TX","Texas","48073","Cherokee","31.9191","-95.3736","","","20.0","point","False","America/Chicago","75766","1840036879"
"Davilla","Davilla","TX","Texas","48331","Milam","30.7857","-97.2750","","","47.4","point","False","America/Chicago","76511","1840036417"
"Alice Acres","Alice Acres","TX","Texas","48249","Jim Wells","27.7119","-98.1080","","","30.2","polygon","False","America/Chicago","78332","1840037032"
"Tom Bean","Tom Bean","TX","Texas","48181","Grayson","33.5201","-96.4843","1076","1076","263","polygon","True","America/Chicago","75491 75489","1840021955"
"Leo","Leo","TX","Texas","48097","Cooke","33.4529","-97.3947","","","7.7","point","False","America/Chicago","76234","1840023257"
"Realitos","Realitos","TX","Texas","48131","Duval","27.4453","-98.5303","","","198.2","polygon","False","America/Chicago","78376","1840019711"
"Heckville","Heckville","TX","Texas","48303","Lubbock","33.7548","-101.6652","","","3.2","point","False","America/Chicago","79329","1840036871"
"Daingerfield","Daingerfield","TX","Texas","48343","Morris","33.0306","-94.7250","4689.0","2413","379","polygon","True","America/Chicago","75638","1840019406"
"Cherry Spring","Cherry Spring","TX","Texas","48171","Gillespie","30.4832","-99.0092","","","0.9","point","False","America/Chicago","78624","1840032808"
"Iago","Iago","TX","Texas","48481","Wharton","29.2665","-95.9630","","","108.9","polygon","False","America/Chicago","77420","1840025143"
"Avinger","Avinger","TX","Texas","48067","Cass","32.8980","-94.5533","429","429","85","polygon","True","America/Chicago","75630","1840020681"
"Santa Maria","Santa Maria","TX","Texas","48061","Cameron","26.0767","-97.8464","","","796.9","polygon","False","America/Chicago","78592","1840019740"
"Atlanta","Atlanta","TX","Texas","48067","Cass","33.1136","-94.1672","5541.0","5487","169","polygon","True","America/Chicago","75551","1840019407"
"Roma Creek","Roma Creek","TX","Texas","48427","Starr","26.4224","-99.0157","","","612.1","polygon","False","America/Chicago","78584","1840037076"
"Easton","Easton","TX","Texas","48401","Rusk","32.3820","-94.5912","506","506","79","polygon","True","America/Chicago","75603 75641","1840020744"
"Rio Bravo","Rio Bravo","TX","Texas","48479","Webb","27.3648","-99.4820","8012.0","4762","2829","polygon","True","America/Chicago","78046","1840021001"
"Lometa","Lometa","TX","Texas","48281","Lampasas","31.2168","-98.3924","843","843","386","polygon","True","America/Chicago","76853","1840020845"
"Uvalde","Uvalde","TX","Texas","48463","Uvalde","29.2153","-99.7782","18747.0","16298","821","polygon","True","America/Chicago","78801","1840022231"
"Higgins","Higgins","TX","Texas","48295","Lipscomb","36.1210","-100.0274","405","405","141","polygon","True","America/Chicago","79046","1840020381"
"Centralia","Centralia","TX","Texas","48455","Trinity","31.2580","-95.0399","","","13.2","point","False","America/Chicago","75926","1840036984"
"Redbank","Redbank","TX","Texas","48037","Bowie","33.5260","-94.2588","","","23.7","point","False","America/Chicago","75561","1840036559"
"Valley View","Valley View","TX","Texas","48097","Cooke","33.4892","-97.1534","792","792","86","polygon","True","America/Chicago","76272","1840023042"
"Estelline","Estelline","TX","Texas","48191","Hall","34.5470","-100.4400","133","133","70","polygon","True","America/Chicago","79233","1840021884"
"Mangum","Mangum","TX","Texas","48133","Eastland","32.3201","-98.8595","","","2.0","point","False","America/Chicago","76435","1840036726"
"Farrsville","Farrsville","TX","Texas","48351","Newton","30.9835","-93.8074","","","1.4","point","False","America/Chicago","75977","1840036848"
"Abram","Abram","TX","Texas","48215","Hidalgo","26.2181","-98.4180","","","129.6","polygon","False","America/Chicago","78572","1840025179"
"Dilley","Dilley","TX","Texas","48163","Frio","28.6675","-99.1765","4407.0","4358","722","polygon","True","America/Chicago","78017","1840019687"
"Parker","Parker","TX","Texas","48085","Collin","33.0565","-96.6252","4610","4610","217","polygon","True","America/Chicago","75094 75002","1840020661"
"Falcon Lake Estates","Falcon Lake Estates","TX","Texas","48505","Zapata","26.8719","-99.2585","","","660.8","polygon","False","America/Chicago","78076","1840037047"
"McNeil","McNeil","TX","Texas","48453","Travis","30.4530","-97.7206","","","0.0","point","False","America/Chicago","78728","1840032589"
"Lampasas","Lampasas","TX","Texas","48281","Lampasas","31.0640","-98.1824","7121.0","7826","413","polygon","True","America/Chicago","76550","1840020846"
"Hereford","Hereford","TX","Texas","48117","Deaf Smith","34.8232","-102.4001","15440.0","14888","936","polygon","True","America/Chicago","79045","1840020462"
"Hartley","Hartley","TX","Texas","48205","Hartley","35.8914","-102.3933","","","56.8","polygon","False","America/Chicago","79044","1840017761"
"Rosita","Rosita","TX","Texas","48427","Starr","26.3998","-98.9278","","","64.8","point","False","America/Chicago","78582","1840036322"
"Faysville","Faysville","TX","Texas","48215","Hidalgo","26.4057","-98.1309","","","392.6","polygon","False","America/Chicago","78542","1840018321"
"Fowlkes","Fowlkes","TX","Texas","48485","Wichita","33.9934","-98.8345","","","0.0","point","False","America/Chicago","76367","1840033066"
"Fulshear","Fulshear","TX","Texas","48157","Fort Bend","29.6930","-95.8792","10044","10044","352","polygon","True","America/Chicago","77441 77494 77406","1840020946"
"Prairie Hill","Prairie Hill","TX","Texas","48293","Limestone","31.6552","-96.7889","","","19.7","point","False","America/Chicago","76678","1840036551"
"Lago","Lago","TX","Texas","48061","Cameron","26.0885","-97.6132","","","448.0","polygon","False","America/Chicago","78586","1840037052"
"Burlington","Burlington","TX","Texas","48331","Milam","31.0152","-96.9967","","","56.6","point","False","America/Chicago","76520","1840036388"
"Orange","Orange","TX","Texas","48361","Orange","30.1209","-93.7616","19072","19072","333","polygon","True","America/Chicago","77630 77632 77631","1840020910"
"Bryson","Bryson","TX","Texas","48237","Jack","33.1635","-98.3891","519","519","152","polygon","True","America/Chicago","76427","1840019368"
"Rice","Rice","TX","Texas","48349","Navarro","32.2389","-96.4978","973","973","140","polygon","True","America/Chicago","75155","1840020781"
"Liberty Hill","Liberty Hill","TX","Texas","48491","Williamson","30.6635","-97.9077","1905","1905","327","polygon","True","America/Chicago","78642","1840022612"
"Lakewood Village","Lakewood Village","TX","Texas","48121","Denton","33.1376","-96.9748","872","872","476","polygon","True","America/Chicago","75068","1840020647"
"Hughes Springs","Hughes Springs","TX","Texas","48067","Cass","32.9987","-94.6311","1737","1737","271","polygon","True","America/Chicago","75656","1840020678"
"Samnorwood","Samnorwood","TX","Texas","48087","Collingsworth","35.0501","-100.2813","","","25.3","polygon","False","America/Chicago","79079","1840019179"
"Crowell","Crowell","TX","Texas","48155","Foard","33.9839","-99.7241","866","866","177","polygon","True","America/Chicago","79227","1840019276"
"Pine Forest","Pine Forest","TX","Texas","48361","Orange","30.1757","-94.0367","510","510","69","polygon","True","America/Chicago","77662","1840020911"
"Splendora","Splendora","TX","Texas","48339","Montgomery","30.2324","-95.1616","2042","2042","259","polygon","True","America/Chicago","77372","1840022174"
"Jericho","Jericho","TX","Texas","48129","Donley","35.1731","-100.9082","","","0.1","point","False","America/Chicago","79226","1840033559"
"Union Valley","Union Valley","TX","Texas","48231","Hunt","32.9324","-96.2471","372","372","79","polygon","True","America/Chicago","75189 75474","1840022996"
"Lacy-Lakeview","Lacy-Lakeview","TX","Texas","48309","McLennan","31.6292","-97.1052","6611","6611","615","polygon","True","America/Chicago","76705","1840020818"
"Red Gate","Red Gate","TX","Texas","48215","Hidalgo","26.4967","-98.1339","","","39.0","point","False","America/Chicago","78541","1840036318"
"Heaton","Heaton","TX","Texas","48179","Gray","35.5481","-100.8088","","","0.7","point","False","America/Chicago","79065","1840033141"
"Sunnyvale","Sunnyvale","TX","Texas","48113","Dallas","32.7974","-96.5577","6491","6491","151","polygon","True","America/Chicago","75182","1840023031"
"English","English","TX","Texas","48387","Red River","33.6276","-94.8594","","","4.9","point","False","America/Chicago","75554","1840036433"
"Hill Country Village","Hill Country Village","TX","Texas","48029","Bexar","29.5830","-98.4891","1084","1084","195","polygon","True","America/Chicago","78232","1840020958"
"Winter Haven","Winter Haven","TX","Texas","48127","Dimmit","28.6197","-99.8576","","","16.0","point","False","America/Chicago","78834","1840036965"
"Webb","Webb","TX","Texas","48439","Tarrant","32.6326","-97.0742","","","1929.6","point","False","America/Chicago","76002","1840036355"
"Spearman","Spearman","TX","Texas","48195","Hansford","36.1982","-101.1943","3260.0","3278","606","polygon","True","America/Chicago","79081","1840021668"
"Dean","Dean","TX","Texas","48077","Clay","33.9299","-98.3674","483","483","87","polygon","True","America/Chicago","76305","1840019284"
"Middle Water","Middle Water","TX","Texas","48205","Hartley","35.8484","-102.7877","","","0.0","point","False","America/Chicago","79022","1840032591"
"Friendswood","Friendswood","TX","Texas","48167","Galveston","29.5112","-95.1979","39839","39839","745","polygon","True","America/Chicago","77546 77549","1840020969"
"Haynesville","Haynesville","TX","Texas","48485","Wichita","34.0915","-98.9159","","","15.3","point","False","America/Chicago","76360","1840036460"
"Fort Davis","Fort Davis","TX","Texas","48243","Jeff Davis","30.5784","-103.8921","","","197.5","polygon","False","America/Chicago","79734","1840018199"
"Camp Verde","Camp Verde","TX","Texas","48265","Kerr","29.8938","-99.1048","","","0.8","point","False","America/Chicago","78010","1840031936"
"Azle","Azle","TX","Texas","48439","Tarrant","32.8954","-97.5379","12495","12495","548","polygon","True","America/Chicago","76020 76098","1840019423"
"Elmendorf","Elmendorf","TX","Texas","48029","Bexar","29.2577","-98.3211","1945","1945","149","polygon","True","America/Chicago","78112","1840020955"
"Russellville","Russellville","TX","Texas","48345","Motley","33.9204","-100.6896","","","0.0","point","False","America/Chicago","79256","1840033519"
"Villa Pancho","Villa Pancho","TX","Texas","48061","Cameron","25.8842","-97.4154","","","341.7","polygon","False","America/Chicago","78521","1840037084"
"Kress","Kress","TX","Texas","48437","Swisher","34.3658","-101.7484","693","693","480","polygon","True","America/Chicago","79052","1840020519"
"Mullin","Mullin","TX","Texas","48333","Mills","31.5552","-98.6657","178","178","146","polygon","True","America/Chicago","76864","1840023121"
"Thornton","Thornton","TX","Texas","48293","Limestone","31.4111","-96.5738","528","528","207","polygon","True","America/Chicago","76687","1840023117"
"North Houston","North Houston","TX","Texas","48201","Harris","29.9255","-95.5152","","","2319.0","point","False","America/Chicago","77086","1840036915"
